Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,Attr41,Attr42,Attr43,Attr44,Attr45,Attr46,Attr47,Attr48,Attr49,Attr50,Attr51,Attr52,Attr53,Attr54,Attr55,Attr56,Attr57,Attr58,Attr59,Attr60,Attr61,Attr62,Attr63,Attr64,timeframe,class
-0.033319,0.86708,-0.068396,0.92094,-25.909,-0.3045,-0.033319,0.15328,2.478,0.13291,-0.019082,-0.038514,-0.013446,-0.033319,-9498.6,-0.038427,1.1533,-0.033319,-0.013446,16.688,0.80713,-0.00662,-0.013446,-0.097608,-0.29856,-0.038427,-0.24226,-0.33648,4.7964,0.3386,-0.00285,1064.7,2.9385,2.9319,-0.058983,2.5361,,0.13291,-0.023802,0.033841,-4.3658,-0.002672,113.04,96.351,-0.29408,0.16481,16.268,-0.00662,-0.002672,0.91885,0.86511,0.34031,0.65385,0.65385,-4280.0,0.88032,-0.25069,0.11896,0.0,21.871,3.7882,127.43,2.8644,12.191,5,1
0.052017,0.48364,0.13168,1.2797,15.937,0.0,0.052017,1.0676,1.654,0.51636,0.054195,0.11048,0.031461,0.052017,3392.5,0.10759,2.0676,0.052017,0.03145,7.8976,0.89417,0.0,0.03145,0.1508,0.45485,0.10759,0.0,0.33127,3.9073,0.24656,0.06542,119.66,3.0503,2.9695,0.0001426,1.654,,0.51636,8.6218e-05,0.22971,868.25,0.0,109.1,101.2,1.4535,1.2037,9.0951,-1.8568e-05,-1.1226e-05,1.2458,0.47083,0.32783,1.299,1.299,1063.8,0.13167,0.10074,0.87623,0.0,46.217,3.6068,103.9,3.5129,4.1609,2,0
0.25301,0.20724,0.45349,3.4774,24.309,0.56298,0.25301,3.82,1.052,0.79165,0.25301,1.3821,0.051251,0.25301,253.14,1.4419,4.8254,0.25301,0.043395,4.6733,1.3436,0.28468,0.043395,0.56298,0.79165,1.4419,0.51365,1.2477,4.1006,0.012292,0.043395,12.056,30.276,1.3737,0.28468,5.8666,23.233,0.81584,0.048827,0.78269,0.020617,0.048827,30.881,26.207,3.3893,3.0696,4.9163,0.23887,0.040971,3.0716,0.18305,0.033029,2.1781,2.2447,5716.6,0.049424,0.31959,0.95058,0.03055,78.103,13.927,11.46,31.85,16.041,2,0
0.046508,0.82946,0.18475,1.7606,-46.178,0.0,0.046508,0.2056,1.4267,0.17054,0.072387,0.19148,0.086679,0.046508,2448.2,0.14909,1.2056,0.046508,0.032599,66.834,1.1241,-0.017002,0.032599,0.089089,0.092003,0.14909,-0.65698,0.32279,4.248,0.58004,0.050738,61.453,5.9395,1.7393,-0.015991,1.4267,0.33707,0.66421,-0.011208,0.41424,0.45964,-0.011917,83.666,16.832,0.17803,0.68511,66.093,-0.094157,-0.065998,0.51556,0.24289,0.16836,0.29795,1.1605,3270.0,-0.011208,0.27272,0.96966,2.8949,5.4613,21.685,62.141,5.8737,2.4926,1,0
0.166,0.58275,0.36571,1.6276,35.077,0.41753,0.20607,0.4407,1.0458,0.25682,0.20607,0.35362,0.056884,0.20607,949.47,0.38442,1.716,0.20607,0.052327,0.0027362,1.0956,0.18866,0.042152,0.52006,0.25682,0.31567,0.50098,7.095,4.7851,0.066258,0.052327,56.482,6.4623,0.32375,0.18866,3.9865,,0.25682,0.047906,0.55307,0.092728,0.047906,58.033,58.03,5622.9,1.6275,0.0028614,0.17071,0.043348,1.6276,0.58275,0.15474,4.9825,4.9825,22297.0,0.043758,0.6464,0.95624,0.0,133400.0,6.2898,54.01,6.758,76.405,2,0
0.024818,0.75788,0.17934,1.2366,10.725,0.0,0.029565,0.31947,2.3346,0.24212,0.059196,0.03901,0.017949,0.029565,6601.3,0.055292,1.3195,0.029565,0.012664,17.292,0.99317,0.059196,0.010631,0.12786,0.19933,0.049029,1.9978,2.8565,3.2663,0.32342,0.017894,119.25,3.0607,3.0607,0.014981,2.3346,,0.24212,0.0064171,0.0037201,0.35315,0.025356,146.09,128.8,0.22439,1.0907,17.404,0.046856,0.02007,1.2366,0.75788,0.32672,3.8565,3.8565,331.09,0.0064171,0.1025,0.98757,0.0,21.108,2.834,118.49,3.0804,37.186,4,0
0.066346,0.72064,0.23887,1.3315,32.789,0.0,0.080469,0.38766,0.54965,0.27936,0.080518,0.11166,0.16998,0.080469,2815.2,0.12965,1.3877,0.080469,0.1464,130.26,0.76152,0.068323,0.12071,0.31406,0.27634,0.11005,1386.6,5.8997,4.3515,0.015308,0.1464,545.7,0.66887,0.66887,0.06764,0.54965,,0.27936,0.12306,0.98832,0.29552,0.1243,164.21,33.956,0.33823,1.0593,148.54,0.05536,0.10072,1.3315,0.72064,1.4951,6.8997,6.8997,5366.6,0.12306,0.23749,0.85695,0.0,2.8022,10.749,478.54,0.76273,13.575,3,0
0.26221,0.44861,0.056227,1.1353,-34.742,0.30449,0.34785,1.2291,1.0259,0.55139,0.34785,0.83685,0.16522,0.34785,423.19,0.8625,2.2291,0.34785,0.14853,42.284,0.90461,0.37007,0.11196,0.40539,0.55139,0.67159,1.6212,0.10647,4.0336,0.19127,0.14853,66.463,5.4918,0.82493,0.37007,2.6606,6.0881,0.58434,0.15802,0.0050941,0.036047,0.15802,73.216,30.932,0.96646,0.48256,43.381,0.33099,0.14133,1.0519,0.41566,0.18209,1.0441,1.1065,607.56,0.025281,0.47554,0.97472,0.059753,8.6321,11.8,64.783,5.6342,4.4346,2,0
0.020529,0.72474,0.22532,1.4966,-142.82,0.020529,0.020529,0.29381,1.0104,0.21293,0.020529,0.045245,0.066587,0.020529,3838.2,0.095098,1.3798,0.020529,0.019834,213.87,1.246,0.017951,0.019834,0.020529,0.21293,0.095098,,0.70219,4.2743,0.7002,0.019834,161.67,2.2577,0.02477,0.017951,1.0822,0.26786,0.48394,0.017344,0.013361,0.35915,0.017344,237.33,23.461,0.03385,0.15999,216.09,-0.03044,-0.02941,0.93697,0.45373,0.44292,0.66357,1.5081,4237.0,0.010276,0.096411,0.98972,1.2727,1.7067,15.558,160.01,2.2812,3.2256,1,1
0.081777,0.74573,0.021582,1.05,-62.151,0.0,0.10719,0.34096,1.5649,0.25427,0.13491,0.2482,0.10572,0.10719,1645.2,0.22186,1.341,0.10719,0.068497,59.212,,0.090158,0.052256,0.10719,0.23323,0.18778,3.2533,0.039488,3.6769,0.47106,0.069668,105.83,3.4491,1.9975,0.075355,1.5649,0.63592,0.56813,0.048152,0.054121,0.16749,0.057612,100.31,41.1,0.32212,0.46214,62.207,0.031902,0.020385,0.60807,0.43187,0.28993,0.46523,1.0395,102.58,0.048152,0.32162,0.93483,1.2344,6.1643,8.8808,100.73,3.6236,2.8633,1,0
-0.053377,1.0653,-0.005101,0.9735,-100.45,-0.088006,-0.053377,-0.061284,0.57228,-0.065284,-0.034964,-0.27731,-0.086833,-0.053377,-7824.6,-0.046648,0.93872,-0.053377,-0.09327,72.9,0.92442,0.0,-0.09327,-0.065468,-0.066797,-0.046648,0.0,-0.0062773,4.5192,1.859,-0.18114,144.21,2.5311,0.45734,0.0010546,0.57228,0.083732,0.80752,0.0018428,0.088037,9.6388,0.0,108.7,35.803,-0.46699,0.37968,85.632,-0.003684,-0.0064374,0.1759,0.19248,0.39509,-0.080338,0.99372,-168.59,0.14869,0.81761,0.88443,-13.369,5.0069,10.195,122.76,2.9732,0.70425,3,0
